date,capacity,turnover,high,low,close,change,transaction_volume,open
1522630800,19029003,4702581241,249.0,245.0,246.5,-1.0,6951,248.5
1522717200,35813944,8710200224,244.5,242.0,244.0,-2.5,13270,243.0
1523235600,35465824,8716801768,248.0,243.5,245.0,1.0,12437,248.0
1523322000,25268994,6231896018,249.0,243.5,245.5,0.5,11912,244.5
1523408400,21777935,5391978180,248.5,246.5,248.0,2.5,8813,246.5
1523494800,20476657,5028226522,248.5,244.0,245.0,-3.0,6898,248.5
1523581200,19946548,4885963546,246.0,244.0,244.5,-0.5,5549,246.0
1523840400,21608528,5251556179,244.0,242.0,243.5,-1.0,8436,243.0
1523926800,42756389,10232256860,243.5,237.5,238.0,-5.5,18381,243.0
1524013200,44768048,10668587090,241.5,236.5,238.0,0.0,12132,239.5
1524099600,33230989,8081404960,244.5,241.0,244.5,6.5,10987,242.0
1524186000,129890087,29837344632,231.5,228.0,229.0,-15.5,46349,228.0
1524445200,71901975,16282275410,227.5,225.0,226.5,-2.5,22048,226.5
1524531600,45206892,10233860296,227.5,225.0,227.0,0.5,13970,225.0
1524618000,48975110,11032111105,226.0,224.0,225.0,-2.0,15136,225.5
1524704400,48176657,10766085521,225.5,221.0,222.0,-3.0,16253,225.0
1524790800,34443459,7679131764,225.5,221.0,223.5,1.5,10859,225.0
1525050000,28500789,6448117416,228.0,222.5,227.0,3.5,9480,224.5
1525222800,38436942,8633492540,227.5,222.5,223.0,-4.0,11445,227.0
1525309200,33507731,7399813831,222.5,220.0,220.5,-2.5,12287,221.0
1525395600,28477722,6330594053,224.0,220.5,223.0,2.5,8445,221.0
1525654800,23751759,5309421525,225.5,221.5,223.5,0.5,8951,225.0
1525741200,40324763,9146327464,228.5,223.5,228.0,4.5,13229,224.0
1525827600,35597934,8188991070,232.0,228.5,229.5,1.5,12616,228.5
1525914000,27530377,6337230710,231.5,229.0,229.5,0.0,11051,231.0
1526000400,30693910,7138428530,234.0,230.5,233.0,3.5,11920,232.0
1526259600,23577637,5502726121,234.5,232.5,233.0,0.0,7666,234.5
1526346000,23771769,5493470187,234.0,229.5,230.5,-2.5,7810,233.5
1526432400,14834107,3408682013,230.5,228.5,230.5,0.0,5398,229.5
1526518800,27702737,6322484836,231.5,226.5,226.5,-4.0,8428,231.0
1526605200,28187541,6327474145,227.5,223.5,223.5,-3.0,9720,225.5
1526864400,16417815,3751438835,230.0,225.0,229.0,5.5,7591,225.0
1526950800,22422097,5175634112,233.5,229.0,229.0,0.0,6963,230.0
1527037200,26737899,6146178621,231.5,228.5,228.5,-0.5,5059,231.5
1527123600,13450610,3082675140,230.0,228.5,229.0,0.5,4240,229.5
1527210000,16486294,3769909946,229.5,228.0,228.5,-0.5,5474,228.5
1527469200,17673270,4020203060,230.0,226.5,227.0,-1.5,7239,229.5
1527555600,25770776,5782293276,226.5,223.5,225.0,-2.0,11400,226.5
1527642000,49667788,10997306304,224.0,220.5,221.0,-4.0,21406,224.0
1527728400,96587458,21553655265,224.0,220.5,224.0,3.0,12737,221.5
1527814800,36652094,8209412370,226.5,224.0,224.0,0.0,7627,224.5
1528074000,31257480,7131988670,229.0,227.0,229.0,5.0,9746,227.5
1528160400,27714384,6329201896,230.0,226.5,229.0,0.0,8509,230.0
1528246800,30375441,6961135060,230.0,227.0,230.0,1.0,9758,229.0
1528333200,25277266,5809345446,231.5,228.0,230.0,0.0,9146,231.0
1528419600,24192851,5493234408,229.0,226.0,227.0,-3.0,7775,229.0
1528678800,22028933,4980629259,227.0,225.0,226.0,-1.0,6726,226.5
1528765200,30189360,6837374510,229.0,224.0,229.0,3.0,8281,225.0
1528851600,36081120,8311856296,232.0,228.0,232.0,3.0,10687,229.0
1528938000,36932041,8423126398,230.0,226.5,226.5,-5.5,12252,230.0
1529024400,49506679,11291127719,231.0,224.0,231.0,4.5,10090,225.0
1529370000,61142624,13754800554,226.0,224.0,225.0,-6.0,19088,225.5
1529456400,40708701,9175159127,227.5,223.5,226.0,1.0,13262,224.5
1529542800,32572707,7379769339,228.0,226.0,226.5,0.5,9421,227.5
1529629200,44211409,9994644852,227.5,224.0,227.5,1.0,14388,224.5
1529888400,49058211,10749795782,220.5,218.0,218.0,0.0,17959,220.0
1529974800,43080346,9242648746,216.0,212.5,214.5,-3.5,15639,215.5
1530061200,40863414,8742004301,216.0,212.5,213.0,-1.5,12681,216.0
1530147600,38816780,8231075920,214.5,210.0,212.0,-1.0,10772,211.0
1530234000,36848680,7919779720,217.0,212.0,216.5,4.5,8652,212.0
1530493200,33496442,7257081470,219.0,214.0,214.0,-2.5,8508,218.5
1530579600,28663220,6173115899,218.0,213.5,214.5,0.5,7758,215.5
1530666000,15359295,3324927032,217.5,215.5,216.0,1.5,5434,217.0
1530752400,18225416,3904832940,215.0,213.0,214.5,-1.5,5581,214.0
1530838800,31344962,6779063394,217.5,215.0,217.0,2.5,8620,217.5
1531098000,41165793,9100880393,223.0,218.5,221.5,4.5,14795,219.5
1531184400,20196957,4498264914,224.0,222.0,222.0,0.5,6922,223.0
1531270800,19854690,4355547100,220.0,218.0,220.0,-2.0,7437,220.0
1531357200,23806051,5246628771,222.0,218.0,220.5,0.5,7885,218.0
1531443600,30419311,6799894334,224.5,222.5,224.5,4.0,11723,222.5
1531702800,16107254,3612296896,225.0,223.5,223.5,-1.0,6321,224.5
1531789200,22554436,5003028272,223.5,221.0,221.5,-2.0,8636,222.5
1531875600,45802658,10221407834,224.0,222.0,223.0,1.5,12139,223.0
1531962000,43976216,9930715930,227.0,224.5,224.5,1.5,12076,225.5
1532048400,103652023,24367904428,237.5,233.0,237.5,13.0,39544,235.0
1532307600,52269877,12621500480,245.0,238.5,241.0,3.5,19777,239.0
1532394000,27468267,6599675515,241.5,238.5,241.0,0.0,10574,240.0
1532480400,21530312,5173924310,241.0,239.0,240.5,-0.5,8491,239.0
1532566800,30856388,7435261120,242.5,239.5,241.0,0.5,10235,241.0
1532653200,27129646,6605479210,244.5,241.0,244.5,3.5,12493,242.0
